date,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1
2018-01-01,10.63979381443299,10.747938144329897,7.665773195876289,81.59907216494845,87.78206185567011
2018-01-02,13.488556701030928,13.66,3.282577319587629,49.89659793814433,45.48865979381443
2018-01-03,13.49938144329897,13.765257731958764,4.133814432989691,53.29144329896908,23.259278350515466
2018-01-04,13.457938144329898,13.49061855670103,10.161030927835052,79.77536082474226,51.92463917525773
2018-01-05,13.956907216494844,13.94298969072165,11.804639175257732,86.11639175257733,20.104329896907217
2018-01-06,10.214226804123712,10.177422680412372,8.564020618556702,89.22896907216496,100.3183505154639
2018-01-07,9.744432989690722,9.827113402061856,7.037010309278351,82.57618556701031,40.239999999999995
2018-01-08,10.674020618556701,10.737938144329895,8.703917525773196,86.89268041237113,10.486288659793814
2018-01-09,12.663505154639175,12.727525773195875,11.215051546391752,89.98762886597937,25.86422680412371
2018-01-10,9.241134020618556,9.207113402061855,6.707835051546391,83.43659793814433,32.511546391752574
2018-01-11,10.91958762886598,10.891237113402063,9.264329896907217,88.83525773195876,69.17474226804123
2018-01-12,11.328865979381444,11.347731958762887,8.7759793814433,83.76020618556701,113.84927835051546
2018-01-13,12.631443298969073,12.691134020618556,5.649381443298969,63.410721649484536,114.05577319587628
2018-01-14,10.978247422680413,11.044742268041237,6.559381443298969,73.73814432989691,78.7720618556701
2018-01-15,12.557731958762886,12.770309278350515,5.986494845360825,64.6080412371134,80.82247422680412
2018-01-16,12.531752577319587,12.412268041237114,10.732474226804124,88.1019587628866,54.25556701030928
2018-01-17,12.324432989690722,12.293917525773196,10.019278350515464,85.11855670103093,101.1780412371134
2018-01-18,11.571546391752578,11.619278350515463,9.622061855670104,87.14072164948453,23.13216494845361
2018-01-19,8.918041237113401,8.921855670103092,5.9513402061855665,81.55721649484536,95.18711340206185
2018-01-20,7.224948453608248,7.1377319587628865,1.5321649484536084,67.17298969072165,127.32917525773196
2018-01-21,8.313402061855669,8.406701030927836,3.2806185567010306,70.16886597938145,93.10680412371134
2018-01-22,10.204329896907216,10.053505154639176,7.182061855670103,81.47742268041237,81.80309278350516
2018-01-23,8.788247422680413,8.713092783505154,5.515567010309279,79.41134020618556,123.27247422680412
2018-01-24,9.984329896907216,10.089381443298969,6.505567010309278,78.42134020618556,44.458041237113406
2018-01-25,8.165670103092783,8.118350515463918,5.465773195876288,82.69216494845361,90.9118556701031
